Elliptic curves with given 3-adic image

N=11, i=1, j=1, [ 0, -1, 1, -10, -20 ] - 1.1.0.1.
N=245, i=1, j=1, [ 0, 0, 1, -7, 12 ] - 3.3.0.1.
N=50, i=2, j=1, [ 1, 1, 1, -3, 1 ] - 3.4.0.1.
N=338, i=4, j=1, [ 1, 1, 0, 504, -13112 ] - 3.6.0.1.
N=20, i=1, j=1, [ 0, 1, 0, 4, 4 ] - 3.8.0.1.
N=20, i=1, j=3, [ 0, 1, 0, -36, -140 ] - 3.8.0.2.
N=98, i=1, j=3, [ 1, 1, 0, 220, 2192 ] - 3.12.0.1.
N=14, i=1, j=1, [ 1, 0, 1, 4, -6 ] - 3.24.0.1.
N=864, i=1, j=1, [ 0, 0, 0, -3, 6 ] - 9.9.0.1.
N=98, i=1, j=1, [ 1, 1, 0, -25, -111 ] - 9.12.0.1.
N=196, i=1, j=1, [ 0, -1, 0, -2, 1 ] - 9.12.0.2.
N=2057, i=1, j=1, [ 0, -1, 1, 37, 76 ] - 9.18.0.1.
N=22898, i=1, j=1, [ 1, 1, 0, -24, -1216 ] - 9.18.0.2.
N=14, i=1, j=4, [ 1, 0, 1, -1, 0 ] - 9.24.0.1.
N=196, i=2, j=1, [ 0, 1, 0, -114, -127 ] - 9.24.0.2.
N=14, i=1, j=3, [ 1, 0, 1, -171, -874 ] - 9.24.0.3.
N=196, i=2, j=2, [ 0, 1, 0, -6974, -226507 ] - 9.24.0.4.
N=1944, i=3, j=1, [ 0, 0, 0, -243, 1134 ] - 9.27.0.1.
N=118579, i=1, j=1, [ 1, -1, 0, 67876, -17960039 ] - 9.27.0.2.
N=432, i=5, j=2, [ 0, 0, 0, 189, -702 ] - 9.36.0.1.
N=304, i=2, j=2, [ 0, -1, 0, 152, -5776 ] - 9.36.0.2.
N=22491, i=1, j=1, [ 0, 0, 1, -965790, 363318205 ] - 9.36.0.3.
N=432, i=5, j=3, [ 0, 0, 0, -1971, 44658 ] - 9.36.0.4.
N=432, i=5, j=1, [ 0, 0, 0, -51, -142 ] - 9.36.0.5.
N=22491, i=1, j=2, [ 0, 0, 1, -6007890, -5425365542 ] - 9.36.0.6.
N=1734, i=10, j=1, [ 1, 1, 1, -1604, -25531 ] - 9.36.0.7.
N=17100, i=1, j=1, [ 0, 0, 0, -1620465, 793976405 ] - 9.36.0.8.
